Artist,Album,Date,Score,Genre
THIS TOWN NEEDS GUNS ,13.0.0.0.0,1/23/2013,7,"['SARGENT HOUSE', '2013', 'MATH ROCK, INDIE ROCK, EMO']"
COMADRE ,SELF-TITLED,1/24/2013,8,"['2013', ""BAND'S MERCH"", 'HARDCORE PUNK, SCREAMO']"
BUKE AND GASE ,GENERAL DOME,1/25/2013,8,"['2013', 'BRASSLAND', 'NOISE POP, INDIE ROCK, EXPERIMENTAL FOLK']"
LOCAL NATIVES ,HUMMINGBIRD,1/28/2013,5,"['2013', 'FRENCHKISS', 'INDIE ROCK, CHAMBER POP, INDIE FOLK']"
CALIFORNIA X ,SELF-TITLED,1/30/2013,6,"['2013', 'DON GIOVANNI', 'INDIE ROCK, ALTERNATIVE ROCK, NOISE ROCK, STONER ROCK (SLIGHTLY)']"
TOMAHAWK ,ODDFELLOWS,1/31/2013,6,"['2013', 'IPECAC', 'EXPERIMENTAL ROCK, ALTERNATIVE ROCK, MR. BUNGLE VIBES, PATTON-CORE']"
TEGAN AND SARA ,HEARTTHROB,2/4/2013,3,"['2013', 'WARNER BROS.', 'SYNTH POP, ELECTRO POP, TOP-40 MAGIC']"
CAKES DA KILLA ,THE EULOGY,2/5/2013,8,"['2013', 'MISHKA', '']"
DUMBO GETS MAD ,BAD PANDA RECORDS,2/6/2013,6,"['2013', '']"
UNKNOWN MORTAL ORCHESTRA ,II,2/7/2013,7,"['2013', 'JAGJAGUWAR', 'NEO-PSYCHEDELIA, LO-FI, PSYCH POP, POPPY FUNKY GOODTIMES']"
MY BLOODY VALENTINE ,MBV,2/7/2013,8,"['2013', 'SELF-RELEASED', 'SHOEGAZE, DREAM POP, EXPERIMENTAL ROCK, NOISE POP, NEO-PSYCHEDELIA']"
ADAM GREEN & BINKI SHAPIRO ,SELF-TITLED,2/9/2013,6,"['2013', 'ROUNDER RECORDS', 'BAROQUE POP, TWEE POP, CUTESY SLACKER DUETS']"
THE UNDERACHIEVERS ,INDIGOISM,2/11/2013,7,"['2013', 'BRAINFEEDER', 'CONSCIOUS HIP HOP, HARDCORE HIP HOP, ABSTRACT HIP HOP, CLOUD RAP']"
VERONICA FALLS ,WAITING FOR SOMETHING TO HAPPEN,2/13/2013,6,"['2013', 'SLUMBERLAND RECORDS', 'JANGLE POP, TWEE POP']"
FOALS ,HOLY FIRE,2/14/2013,5,"['2013', 'WARNER UNITED KINGDOM', 'INDIE ROCK, DREAM POP, DANCE ROCK, POST-PUNK, SLIGHTLY POST-ROCK-ISH MOMENT']"
PISSED JEANS ,HONEYS,2/15/2013,7,"['2013', 'SUB POP', 'NOISE ROCK, POST-HARDCORE, HARDCORE PUNK']"
GROUPER ,THE MAN WHO DIED IN HIS BOAT,2/16/2013,7,"['2013', 'KRANKY', 'DRONE, AMBIENT, DREAM POP, SINGER-SONGWRITER, LO-FI, PSYCHEDELIC FOLK']"
PORTAL ,VEXOVOID,2/19/2013,5,"['PROFOUND LORE', '2013', 'DEATH METAL, TECHNICAL DEATH METAL, NOISE METAL, BLACK METAL']"
BEACH FOSSILS ,CLASH THE TRUTH,2/20/2013,8,"['CAPTURED TRACKS', '2013', 'JANGLE POP, INDIE ROCK, DREAM POP, INDIE POP, BEACH GUITAR MAGIC, A LITTLE BIT OF POST-PUNK HERE AND THERE, KINDA SHOEGAZE']"
NICK CAVE AND THE BAD SEEDS ,PUSH THE SKY AWAY,2/21/2013,5,"['2013', 'BAD SEED', 'SINGER-SONGWRITER, ART ROCK, CHAMBER POP,']"
ICEAGE ,YOU'RE NOTHING,2/22/2013,8,"['2013', 'MATADOR', 'HARDCORE PUNK, POST-PUNK, NOISE ROCK']"
ATOMS FOR PEACE ,AMOK,2/26/2013,7,"['2013', 'XL', 'GLITCH POP, IDM, EXPERIMENTAL POP, EXPERIMENTAL ROCK, ELECTRONIC THOM YORKE MAGIC']"
CLIPPING ,MIDCITY,2/27/2013,8,"['SELF-RELEASED', '2013', 'HARSH NOISE HYPHY HOP']"
GRAVE BABIES ,CRUSHER,2/27/2013,7,"['2013', 'HARDLY ART', 'SHOEGAZE, NOISE POP, NOISE ROCK, POST-PUNK, GOTH ROCK']"
STRFKR ,MIRACLE MILE,2/28/2013,3,"['2013', 'POLYVINYL', 'INDIE POP, SYNTH POP, DANCE POP, PSYCH POP']"
DARKTHRONE ,THE UNDERGROUND RESISTANCE,3/1/2013,6,"['2013', 'PEACEVILLE', 'HEAVY METAL, SPEED METAL']"
CZARFACE ,SELF-TITLED,3/4/2013,6,"['BRICK', '2013', 'EAST COAST HIP HOP, BOOM BAP']"
STEVEN WILSON ,THE RAVEN THAT REFUSED TO SING (AND OTHER STORIES),3/5/2013,5,"['2013', 'KSCOPE', 'PROGRESSIVE ROCK']"
SHLOHMO ,LAID OUT,3/5/2013,8,"['2013', 'FRIENDS OF FRIENDS', 'TRAP, CONTEMPORARY R&B, ALTERNATIVE R&B, SAD TRAP ELECTRONICA MAGIC, WITCH HOUSE']"
THE MEN ,NEW MOON,3/6/2013,4,"['SACRED BONES', '2013', 'ALT-COUNTRY, GARAGE ROCK, PSYCH ROCK, INDIE ROCK, KINDA SORTA FOLK ROCK WITH AN ATTITUDE']"
AUTECHRE ,EXAI,3/7/2013,8,"['WARP', '2013', 'IDM, GLITCH, EXPERIMENTAL, IRREGULAR TECHNO MAGIC, SONIC SORCERY, DRUM \'N\' GLITCH, AMBIENT, ""RECKS ON"" HAS A BIT OF A HIP HOP FLAVOR TO IT, TOO.']"
RHYE ,WOMAN,3/19/2013,6,"['2013', 'POLYDOR', 'SOPHISTI-POP, INDIE POP, JAZZ POP, CONTEMPORARY R&B, SOUL']"
NAILS ,ABANDON ALL LIFE,3/20/2013,7,"['SOUTHERN LORD', '2013', 'POWERVIOLENCE, HARDCORE PUNK, GRINDCORE']"
THE STROKES ,COMEDOWN MACHINE,3/21/2013,5,"['2013', 'RCA RECORDS', 'POP ROCK, GARAGE ROCK, NEW WAVE, INDIE ROCK, DISCO INDIE SYNTH STUFF WITH FALSETTO VOCALS']"
DOPE BODY ,SATURDAY,3/21/2013,7,"['DRAG CITY', '2013', 'SLUDGE METAL, PSYCH ROCK, HARDCORE PUNK, PARTY COCK ROCK CORE']"
DAVID BOWIE ,THE NEXT DAY,3/23/2013,7,"['COLUMBIA', '2013', 'ART ROCK, GLAM ROCK, POP ROCK']"
JUSTIN TIMBERLAKE ,THE 20,3/25/2013,20,"['20 EXPERIENCE', '2013', 'RCA RECORDS', 'DANCE POP, CONTEMPORARY R&B, NEO-SOUL, POP']"
KEN MODE ,ENTRENCH,3/26/2013,7,"['SEASON OF MIST', '2013', 'POST-HARDCORE, NOISE ROCK, SLUDGE METAL']"
THE DRONES ,I SEE SEAWEED,3/27/2013,8,"['2013', 'SELF-RELEASED, I THINK', 'GARAGE ROCK, INDIE ROCK, PSYCH ROCK, NOISE ROCK, EXPERIMENTAL ROCK, SINGER-SONGWRITER']"
BONOBO ,THE NORTH BORDERS,3/27/2013,6,"['NINJA TUNE', '2013', 'DOWNTEMPO, FUTURE GARAGE, NU JAZZ']"
KVELERTAK ,MEIR,3/28/2013,8,"['ROADRUNNER', '2013', ""HARDCORE PUNK, HEAVY METAL, ROCK 'N' ROLL, BLACK METAL""]"
LAPALUX ,NOSTALCHIC,3/29/2013,7,"['2013', 'BRAINFEEDER', 'WONKY, FUTURE GARAGE, CONTEMPORARY R&B, PSYCHEDELIC BEAT MAGIC']"
WAVVES ,AFRAID OF HEIGHTS,4/1/2013,6,"['2013', 'MOM + POP', 'POP PUNK, GARAGE ROCK, ALTERNATIVE ROCK, GRUNGE']"
"TYLER, THE CREATOR ",WOLF,4/2/2013,6,"['2013', 'SELF-RELEASED', 'WEST COAST HIP HOP, JAZZ RAP, WEST COAST HIP HOP']"
THE MARY ONETTES ,HIT THE WAVES,4/3/2013,7,"['2013', 'LABRADOR', 'SYNTH POP, DREAM POP, JANGLE POP, 80S NOSTALGIA POP, HAVE YOU EVER HEARD OF THIS BAND CALLED ""THE CURE""?']"
THE BLACK HEART REBELLION ,HAR NEVO,4/4/2013,7,"['2013', 'SMOKE & DUST RECORDS', 'PSYCH ROCK, FOLK, POST-METAL, DRONE, EXPERIMENTAL ROCK, POST-ROCK']"
THE KNIFE ,SHAKING THE HABITUAL,4/7/2013,9,"['2013', 'MUTE', 'ELECTRONIC, EXPERIMENTAL, TECHNO, ART POP, TECH HOUSE, DARK AMBIENT']"
THE FLAMING LIPS ,THE TERROR,4/11/2013,6,"['2013', 'WARNER BROS.', 'NEO-PSYCHEDELIA, EXPERIMENTAL ROCK, DREAM POP, AMBIENT POP, KRAUT ROCK, SPACE ROCK']"
THEE OH SEES ,FLOATING COFFIN,4/17/2013,5,"['2013', 'CASTLE FACE', 'GARAGE ROCK, LO-FI, GARAGE PUNK, PSYCHEDELIC ROCK, NOISE ROCK']"
PHOSPHORESCENT ,MUCHACHO,4/18/2013,6,"['2013', 'DEAD OCEANS', 'AMERICANA, ALT-COUNTRY, FOLK, NEO FOLK']"
KURT VILE ,WAKING ON A PRETTY DAZE,4/19/2013,8,"['2013', 'MATADOR', 'FOLK ROCK, PSYCHEDELIC FOLK, INDIE FOLK, DREAM FOLK MAGIC, CLOUD FOLK']"
KID CUDI ,INDICUD,4/20/2013,2,"['G.O.O.D. MUSIC', '2013', 'POP RAP, ABSTRACT HIP HOP']"
GHOSTFACE KILLAH AND ANDRIAN YOUNGE ,12 REASONS TO DIE,4/22/2013,8,"['SOUL TEMPLE', '2013', 'EAST COAST HIP HOP, HARDCORE HIP HOP, SOUNDTRACK']"
YEAH YEAH YEAHS ,MOSQUITO,4/23/2013,5,"['2013', 'POLYDOR', 'INDIE ROCK, GARAGE ROCK, ART ROCK, NEO-PSYCHEDELIA']"
DEERHUNTER ,MONOMANIA,4/24/2013,6,"['2013', '4AD', 'NOISE ROCK, NOISE POP, PSYCHEDELIC ROCK, NEO-PSYCHEDELIA, GARAGE ROCK']"
COLIN STETSON ,NEW HISTORY WARFARE VOL. 3: TO SEE MORE LIGHT,4/26/2013,7,"['2013', 'CONSTELLATION', 'EXPERIMENTAL, AVANT-GARDE JAZZ, POST-MINIMALISM']"
IGGY AND THE STOOGES ,READY TO DIE,4/28/2013,4,"['2013', 'FAT POSSUM', ""GARAGE ROCK, HARD ROCK, PUNK ROCK, ROCK 'N' ROLL""]"
JENNY HVAL ,INNOCENCE IS KINKY,4/30/2013,7,"['2013', 'RUNE GRAMMOFON', 'ART POP, CHAMBER POP, SINGER-SONGWRITER, SPOKEN WORD']"
THE HAXAN CLOAK ,EXCAVATION,5/1/2013,8,"['2013', 'TRI ANGLE RECORDS', 'DARK AMBIENT, AMBIENT DUB, DRONE']"
SAVAGES ,SILENCE YOURSELF,5/2/2013,8,"['2013', 'MATADOR', 'POST-PUNK, GOTHIC ROCK, PUNK ROCK, NOISE ROCK']"
R.A. THE RUGGED MAN ,LEGENDS NEVER DIE,5/4/2013,6,"['NATURE SOUNDS', '2013', 'EAST COAST HIP HOP, HARDCORE HIP HOP']"
CHANCE THE RAPPER ,ACID RAP,5/7/2013,6,"['2013', 'SELF-RELEASED', 'POP RAP, JAZZ RAP, JUKE']"
ALTAR OF PLAGUES , TEETHED GLORY AND INJURY,5/7/2013,9,[]
LITTLE WOMEN ,LUNG,5/8/2013,6,"['AUM FIDELITY', '2013', 'AVANT-GARDE JAZZ, NOISE ROCK, MATH ROCK']"
PHOENIX ,BANKRUPT!,5/9/2013,5,"['2013', 'GLASSNOTE', 'INDIE POP, SYNTH POP, INDIE ROCK, NEW WAVE']"
THE UNCLUDED ,HOKEY FRIGHT,5/10/2013,7,"['2013', 'RHYMESAYERS ENTERTAINMENT', 'ABSTRACT HIP HOP, ANTI-FOLK, FOLK HOP, EXPERIMENTAL HIP HOP, SINGER-SONGWRITER HIP HOP FUSION MAGIC']"
CHARLI XCX ,TRUE ROMANCE,5/13/2013,3,"['2013', 'ASYLUM', 'ELECTROPOP, SYNTH POP, DANCE POP']"
VAMPIRE WEEKEND ,MODERN VAMPIRES OF THE CITY,5/14/2013,7,"['2013', 'XL', 'INDIE ROCK, INDIE POP, BAROQUE POP, CHAMBER POP']"
CO LA ,MOODY COUP,5/14/2013,6,"['SOFTWARE RECORDING CO.', '2013', 'PLUNDERPHONICS, WONKY TECHNO, GLITCH, VAPORWAVE, DISORIENTING SAMPLES']"
THE DILLINGER ESCAPE PLAN ,ONE OF US IS THE KILLER,5/16/2013,8,"['SUMERIAN RECORDS', '2013', 'MATHCORE, METALCORE, SPAZZCORE, POST-HARDCORE, RIFF MANIA, ALTERNATIVE METAL']"
DAFT PUNK ,RANDOM ACCESS MEMORIES,5/20/2013,8,"['2013', 'DISCO, SYNTH FUNK, SMOOTH FUNK, AOR, SOFT ROCK, PROGRESSIVE SYNTH, ELECTRO-DISCO']"
DAFT PUNK ,RANDOM ACCESS MEMORIES,5/20/2013,8,"['2013', 'DISCO, SYNTH FUNK, SMOOTH FUNK, AOR, SOFT ROCK, PROGRESSIVE SYNTH, ELECTRO-DISCO']"
THE NATIONAL ,TROUBLE WILL FIND ME,5/21/2013,4,"['2013', '4AD', 'CHAMBER POP, INDIE ROCK']"
ANAMANAGUCHI ,ENDLESS FANTASY,5/22/2013,6,"['2013', 'SELF-RELEASED', 'CHIPTUNE, POWER POP, HOUSE, ELECTROPOP']"
THIS ROUTINE IS HELL ,HOWL,5/23/2013,8,"['2013', 'COBRA RECORDS, SHIELD RECORDINGS, RUINS RECORDS', 'PUNK ROCK, HARDCORE PUNK, SLUDGE PUNK']"
CLASSIXX ,HANGING GARDENS,5/24/2013,6,"['2013', 'INNOVATIVE LEISURE', 'HOUSE, SYNTH POP, SYNTH FUNK']"
TRAVIS SCOTT ,OWL PHARAOH,5/27/2013,3,"['2013', 'EPIC, GRAND HUSTLE', 'TRAP RAP, POP RAP, SOUTHERN HIP HOP']"
THE WORLD IS A BEAUTIFUL PLACE AND I AM NO LONGER AFRAID TO DIE ,"WHENEVER, IF EVER",5/28/2013,7,"['2013', 'TOPSHELF RECORDS', 'EMO, MIDWEST EMO, INDIE ROCK']"
BATHS ,OBSIDIAN,5/29/2013,6,"['ANTICON.', '2013', 'GLITCH POP, CHAMBER POP, SYNTH POP, INDIE ELECTRONIC']"
QUASIMOTO ,YESSIRWHATEVER,5/30/2013,7,"['2013', 'STONES THROW', 'ABSTRACT HIP HOP, BOOM BAP, JAZZ RAP, PSYCH RAP']"
BIBIO ,SILVER WILKINSON,5/31/2013,7,"['2013', 'WARP', 'FOLKTRONICA, GLITCH POP, DREAM POP, DREAM FOLK, INSTRUMENTAL HIP HOP,']"
DEAFHEAVEN ,SUNBATHER,5/31/2013,8,"['DEATHWISH INC.', '2013', 'ATMOSPHERIC BLACK METAL, POST-ROCK, BLACKGAZE, AMBIENT, SCREAMO']"
QUEENS OF THE STONE AGE ,...LIKE CLOCKWORK,6/4/2013,9,"['2013', 'MATADOR RECORDS', 'ALTERNATIVE ROCK, STONER ROCK']"
CX KIDTRONIK ,KRAK ATTACK 2: THE BALLAD OF ELLI SKIFF,6/5/2013,6,"['2013', 'STONES THROW', 'EXPERIMENTAL HIP HOP, INDUSTRIAL HIP HOP, DIGITAL HARDCORE, DRUM MACHINE METAL THAT RIPS YOUR FACE OFF']"
DISCLOSURE ,SETTLE,6/5/2013,7,"['2013', 'ISLAND RECORDS', 'UK GARAGE, FUTURE GARAGE, HOUSE, DEEP HOUSE,']"
DISCLOSURE ,SETTLE,6/5/2013,7,"['2013', 'ISLAND RECORDS', 'UK GARAGE, FUTURE GARAGE, HOUSE, DEEP HOUSE,']"
LAURA MARLING ,ONCE I WAS AN EAGLE,6/7/2013,7,"['RIBBON', '2013', 'SINGER-SONGWRITER, CONTEMPORARY FOLK']"
THUNDERCAT ,APOCALYPSE,6/10/2013,3,"['2013', 'BRAINFEEDER', 'JAZZ FUSION, NU JAZZ, JAZZ-FUNK, CONTEMPORARY R&B']"
BOARDS OF CANADA ,TOMORROW'S HARVEST,6/12/2013,6,"['2013', 'WARP', 'AMBIENT, IDM, PROGRESSIVE SYNTH, PROGRESSIVE ELECTRONIC, DOWNTEMPO, AMBIENT TECHNO']"
YOUNG FATHERS ,TAPE TWO,6/13/2013,8,"['2013', 'ANTICON.', 'EXPERIMENTAL HIP HOP, ABSTRACT HIP HOP, AFRICAN HIP HOP LO-FI NOISE FUSION, POST-HIP HOP, AVANT-NEO-SOUL']"
YOUNG FATHERS ,TAPE TWO,6/13/2013,8,"['2013', 'ANTICON.', 'EXPERIMENTAL HIP HOP, ABSTRACT HIP HOP, AFRICAN HIP HOP LO-FI NOISE FUSION, POST-HIP HOP, AVANT-NEO-SOUL']"
MR. MUTHAFUCKIN' EXQUIRE ,KISMET,6/15/2013,7,"['2013', 'SELF-RELEASED', 'HARDCORE HIP HOP, EAST COAST HIP HOP, BOOM BAP,']"
JON HOPKINS ,IMMUNITY,6/17/2013,8,"['2013', 'DOMINO RECORDS', 'TECH HOUSE, TECHNO, MICRO HOUSE, AMBIENT, GLITCHY DANCE MAGIC, LOFTY POST-HOUSE']"
KANYE WEST ,YEEZUS,6/18/2013,5,"['2013', 'DEF JAM', 'EXPERIMENTAL HIP HOP, INDUSTRIAL HIP HOP, HARDCORE HIP HOP, AUTO-TUNED NOISE HOP. HOUSE HOP']"
