Artists,Album,Date,Year,Score,Tags,Genres
king krule,Man Alive!,24-Feb-20,2020,8,"['matador', 'rock', 'art rock', 'post-punk', 'neo-psychedelia', '8/10']","rock,punk"
lianne la havas,Lianne La Havas,23-Jul-20,2020,8,"['nonesuch', 'other', 'singer-songwriter', 'neo-soul', '8/10']","soul,singer-songwriter"
lido pimienta,Miss Colombia,28-Apr-20,2020,8,"['anti', 'pop', 'art pop', 'digital cumbia', '8/10']",pop
liturgy,Origin of the Alimonies,29-Nov-20,2020,8,"['opera', 'ylylcyn', 'loud rock', 'other', 'black metal', 'modern classical', 'experimental', 'glitch', '8/10']","rock,metal,experimental"
mac miller,Circles,21-Jan-20,2020,8,"['warner bros', 'pop', 'neo-soul', 'pop rap', 'singer-songwriter', '8/10', 'hip hop']","hip hop,pop,soul,singer-songwriter"
meridian brothers,Cumbia Siglo XXI,10-Sep-20,2020,8,"['bongo joe', 'electronic', 'latin', 'colombia', 'digital cumbia', '8/10']",electronic
moor jewelry,True Opera,18-Jun-20,2020,8,"['mental jewelry', 'moor mother', 'collaboration', 'loud rock', 'noise rock', 'industrial', 'no wave', 'post-punk', '8/10']","rock,punk"
natalia lafourcade,Un canto por Mexico Vol. 1,15-May-20,2020,8,"['sony', 'other', 'folk', '8/10']",folk
nicolas jaar,Cenizas,2-Apr-20,2020,8,"['other people', 'electronic', 'ambient', 'electroacoustic', 'art pop', '8/10']","pop,electronic,ambient"
perfume genius,Set My Heart on Fire Immediately,23-May-20,2020,8,"['matador', 'pop', 'art pop', 'chamber pop', '8/10']",pop
phoebe bridgers,Punisher,23-Jun-20,2020,8,"['dead oceans', 'other', 'singer-songwriter', 'indie', 'folk', '8/10']","singer-songwriter,folk"
poppy,I Disagree,24-Jan-20,2020,8,"['sumerian', 'loud rock', 'alternative metal', 'electro-industrial', 'dream pop', '8/10']","pop,rock,metal"
quelle chris & chris keys,Innocent Country 2,30-Apr-20,2020,8,"['collab', 'collaboration', 'mello music group', 'rap', 'hip hop', 'conscious', 'jazz rap', 'abstract hip hop', '8/10']","hip hop,jazz"
r.a.p. ferreira,Purple Moonlight Pages,21-Mar-20,2020,8,"['ruby yacht', 'rap', 'hip hop', 'abstract', 'jazz rap', '8/10']","hip hop,jazz"
rina sawayama,Sawayama,20-Apr-20,2020,8,"['debut', 'dirty hit', 'pop', 'r&b', 'electropop', 'dance pop', '8/10']","pop,r&b,dance"
run the jewels,RTJ4,8-Jun-20,2020,8,"['el-p', 'killer mike', 'rap', 'hip hop', '8/10']",hip hop
sevdaliza,Shabrang,17-Sep-20,2020,8,"['twisted elegance', 'pop', 'art pop', 'trip hop', 'alternative r&b', '8/10']","pop,r&b"
stormzy,Heavy Is the Head,23-Jan-20,2020,8,"['#merky', 'rap', 'hip hop', 'uk', 'grime', '8/10']",hip hop
the flaming lips,American Head,16-Sep-20,2020,8,"['warner', 'pop', 'neo-psychedelia', 'dream pop', '8/10']",pop
the koreatown oddity,Little Dominiques Nosebleed,4-Dec-20,2020,8,"['stones throw', 'rap', 'hip hop', 'abstract hip hop', 'jazz rap', '8/10']","hip hop,jazz"
the strokes,The New Abnormal,14-Apr-20,2020,8,"['rca', 'cult', 'rock', 'new wave', 'post-punk revival', 'indie', 'synthpop', '8/10']","pop,rock,punk"
undeath,Lesions of a Different Kind,18-Nov-20,2020,8,"['loud rock', 'metal', 'death metal', 'prosthetic', '8/10']","rock,metal"
ad nauseam,Imperative Imperceptible Impulse,23-Feb-21,2021,8,"['italy', 'avantgarde', 'loud rock', 'metal', 'tech death', 'modern classical', '8/10']","rock,metal"
"armand hammer<,>the alchemist",Haram,2-Apr-21,2021,8,"['haram', 'collab', 'backwoodz studioz', 'rap', 'hip hop', 'abstract hip hop', '8/10']",hip hop
backxwash,I Lie Here Buried with My Rings and My Dresses,24-Jun-21,2021,8,"['self-released', 'rap', 'hip hop', 'industrial hip hop', '8/10']",hip hop
"black country, new road",For the first time,9-Feb-21,2021,8,"['ninja tune', 'rock', 'art rock', 'post-punk', 'klezmer', '8/10']","rock,punk"
black dresses,Forever in Your Heart,18-Feb-21,2021,8,"['self-released', 'other', 'industrial', 'noise pop', 'glitch', 'electro-industrial', '8/10']",pop
black midi,Cavalcade,2-Jun-21,2021,8,"['uk', 'rough trade', 'rock', 'avant-prog', 'art rock', '8/10']",rock
brockhampton,"ROADRUNNER: NEW LIGHT, NEW MACHINE",12-Apr-21,2021,8,"['rap', 'hip hop', 'alternative hip hop', 'rca', 'question everything', '8/10']",hip hop
brockhampton,"ROADRUNNER: NEW LIGHT, NEW MACHINE",12-Apr-21,2021,8,"['rap', 'hip hop', 'alternative hip hop', 'rca', 'question everything', '8/10']",hip hop
feu! chatterton,Palais d'argile,25-Mar-21,2021,8,"['france', 'french', 'caroline', 'nouvelle chanson', 'pop', '8/10']",pop
genesis owusu,Smiling with No Teeth,8-Mar-21,2021,8,"['debut', 'australia', 'pop', 'neo-soul', 'house anxiety', 'ourness', 'alternative hip hop', 'rap', '8/10']","hip hop,pop,soul,house"
jazmine sullivan,Heaux Tales,22-Jan-21,2021,8,"['ep', 'rca', 'r&b', 'pop', '8/10']","pop,r&b"
jeff rosenstock,SKA DREAM,21-Apr-21,2021,8,"['no dream', 'remake', 'polyvinyl', 'rock', 'ska', 'third wave', 'punk', '8/10']","rock,punk"
"moor mother<,>billy woods",BRASS,26-Jan-21,2021,8,"['brass', 'backwoodz studioz', 'rap', 'hip hop', 'abstract hip hop', '8/10', 'collaboration', 'collab']",hip hop
nick cave,Carnage,2-Mar-21,2021,8,"['carnage', 'collab', 'goliath', 'other', 'singer-songwriter', 'chamber pop', 'ambient', '8/10']","pop,ambient,singer-songwriter"
panopticon,...And Again Into the Light,31-May-21,2021,8,"['bindrune', 'metal', 'loud rock', 'post-rock', 'atmospheric black metal', 'americana', '8/10']","rock,metal"
porter robinson,Nurture,2-May-21,2021,8,"['mom + pop', 'electronic', 'pop', 'electropop', 'glitch', 'folktronica', '8/10']","pop,electronic,folk"
sematary,Rainbow Bridge 3,9-May-21,2021,8,"['mixtape', 'haunted mound', 'rap', 'hip hop', 'trap metal', 'horrorcore', 'noise', 'witch house', '8/10']","hip hop,house,metal"
slowthai,TYRON,16-Feb-21,2021,8,"['method', 'rap', 'hip hop', 'uk', 'trap', '8/10']",hip hop
twin shadow,Twin Shadow,15-Jul-21,2021,8,"['cheree cheree', 'psych pop', 'synthpop']",pop
"tyler, the creator",Call Me If You Get Lost,28-Jun-21,2021,8,"['columbia', 'rap', 'hip hop', 'alternative hip hop', 'neo-soul', 'west coast', '8/10']","hip hop,soul"
viagra boys,Welfare Jazz,14-Jan-21,2021,8,"['year0001', 'sweden', 'rock', 'post-punk', 'art punk', 'punk blues', '8/10']","rock,punk"
weezer,OK Human,1-Feb-21,2021,8,"['crush', 'rock', 'pop rock', 'baroque', 'chamber pop', '8/10']","pop,rock"
kendrick lamar,"GOOD KID, M.A.A.D. CITY",22-Oct-12,2012,9,"['interscope', 'west coast hip hop, conscious hip hop']",hip hop
altar of plagues, TEETHED GLORY AND INJURY,7-May-13,2013,9,['black metal'],metal
melt,BANANA - FETCH,12-Oct-13,2013,9,"['a-zap', 'noise rock, noise core, hardcore punk, noise pop,']","pop,rock,punk"
queens of the stone age,...LIKE CLOCKWORK,4-Jun-13,2013,9,"['matador records', 'alternative rock, stoner rock']",rock
the knife,SHAKING THE HABITUAL,7-Apr-13,2013,9,"['mute', 'electronic, experimental, techno, art pop, tech house, dark ambient']","pop,electronic,house,techno,ambient,experimental"
tim hecker,VIRGINS,16-Oct-13,2013,9,"['kranky', 'ambient, drone, noise, post-modern classical, minimal piano magic, trippy ensemble']",ambient
ariel pink,POM POM,17-Nov-14,2014,9,"['4ad', 'synth pop, lo-fi, noise pop, hard rock, post-punk, new wave, post-nostalgia, absurdist post-modernism']","pop,rock,punk"
behemoth,THE SATANIST,11-Feb-14,2014,9,"['nuclear blast', 'metal', 'death metal']",metal
clipping.,CLPPNG,2-Jun-14,2014,9,"['sub pop records', 'experimental hip hop, abstract hip hop, industrial hip hop, spoken word, hardcore hip hip, glitchy gangsta rap or ""glitch-sta rap""']","hip hop,pop,experimental"
"freddie gibbs<,>madlib",PINATA,22-Mar-14,2014,9,"['madlib invazion', 'gangsta rap, jazz rap, trippy ""g"" magic', 'hip hop']","hip hop,jazz"
iceage,PLOWING INTO THE FIELD OF LOVE,7-Oct-14,2014,9,"['matador', 'noise rock, post-punk, gothic rock, depressing punk jamz, rockabilly...sort of...']","rock,punk"
sun kil moon,BENJI,20-Feb-14,2014,9,"['caldo verde', 'folk, folk rock, americana, singer-songwriter']","rock,singer-songwriter,folk"
death grips,THE POWERS THAT B,23-Mar-15,2015,9,"['harvest records', 'industrial hip hop', 'experimental hip hop', 'hardcore punk', 'psychedelic sound terrorism']","hip hop,punk,psychedelic,experimental"
death grips,The Powers That B,20-Jun-15,2015,9,"['niggas on the moon', 'jenny death', 'third worlds', '9/10', 'harvest', 'industrial hip hop', 'experimental hip hop', 'hardcore punk']","hip hop,punk,experimental"
fka twigs,M3LL155X,14-Aug-15,2015,9,"['young turks', 'uk', 'pop', 'contemporary r&b', 'art', 'm3ll155x', '9/10']","pop,r&b"
ghost,Meliora,19-Aug-15,2015,9,"['loma vista', 'loud rock', 'heavy metal', 'progressive rock', '9/10']","rock,metal"
julia holter,Have You in My Wilderness,28-Sep-15,2015,9,"['domino', 'pop', 'dream', 'baroque', '9/10']",pop
kamasi washington,The Epic,20-Jun-15,2015,9,"['9/10', 'post-bop', 'jazz', 'other', 'brainfeeder']",jazz
kamasi washington,THE EPIC,5-May-15,2015,9,"['brainfeeder records', 'post-bop, jazz fusion, spiritual jazz, soul jazz']","soul,jazz"
the pop group,CITIZEN ZOMBIE,24-Feb-15,2015,9,"['freaks r us', 'post-punk, experimental rock, art punk, noise rock']","rock,punk,experimental"
a tribe called quest,We Got It from Here... Thank You 4 Your Service,21-Nov-16,2016,9,"['thank you 4 your service', 'epic', 'rap', 'hip hop', 'east coast', 'jazz rap', 'boom bap', 'political', '9/10', 'loved']","hip hop,jazz"
danny brown,Atrocity Exhibition,30-Sep-16,2016,9,"['warp', 'rap', 'hip hop', 'hardcore hip hop', 'experimental hip hop', '9/10']","hip hop,experimental"
david bowie,Blackstar,12-Jan-16,2016,9,"['columbia', 'rock', 'jazz', 'experimental rock', 'art rock', 'glam', '9/10']","jazz,rock,experimental"
death grips,Bottomless Pit,9-May-16,2016,9,"['third worlds', 'harvest', 'rap', 'hip hop', 'electro-industrial', 'noise rock', 'digital hardcore', '9/10']","hip hop,rock"
swans,The Glowing Man,24-Jun-16,2016,9,"['young god', 'rock', 'experimental rock', 'post-punk', 'noise rock', 'psychedelic rock', 'drone', 'neofolk', '9/10']","rock,punk,psychedelic,experimental,folk"
xiu xiu,Plays the Music of Twin Peaks,29-Apr-16,2016,9,"['polyvinyl', 'cover', 'rock', 'experimental', 'dark ambient', 'jazz', 'dream pop', 'noise', '9/10']","pop,jazz,ambient,rock,experimental"
big k.r.i.t.,4eva Is a Mighty Long Time,1-Nov-17,2017,9,"['bmg', 'rap', 'hip hop', 'southern hip hop', 'conscious hip hop', 'dirty south', 'jazz rap', '9/10']","hip hop,jazz"
brockhampton,Saturation,12-Jun-17,2017,9,"['rap', 'hip hop', 'alternative r&b', 'experimental hip hop', 'alternative hip hop', 'hardcore hip hop', 'west coast', '9/10']","hip hop,r&b,experimental"
father john misty,Pure Comedy,11-Apr-17,2017,9,"['sub pop', 'singer-songwriter', 'piano rock', 'folk', 'chamber pop', '9/10']","pop,rock,singer-songwriter,folk"
mount eerie,A Crow Looked at Me,29-Mar-17,2017,9,"['phil elverum', 'singer-songwriter', 'folk', 'slowcore', '9/10']","singer-songwriter,folk"
neil cicierega,Mouth Moods,25-Jan-17,2017,9,"['self-titled', 'mashup', 'comedy', 'satire', 'meme', 'other', '9/10']",
rina sawayama,RINA,7-Nov-17,2017,9,"['ep', 'self-released', 'pop', 'electropop', 'glitch pop', '9/10']",pop
sun kil moon,Common as Light and Love Are Red Valleys of Blood,20-Feb-17,2017,9,"['caldo verde', 'rock', 'singer-songwriter', 'experimental rock', 'folk', 'spoken word', '9/10']","rock,experimental,singer-songwriter,folk"
a.a.l (against all logic),2012-2017,1-Mar-18,2018,9,"['nicolas jaar', 'other people', 'electronic', 'house', 'deep house', '9/10']","electronic,house"
death grips,Year of the Snitch,29-Jun-18,2018,9,"['third worlds', 'harvest', 'other', 'experimental hip hop', 'industrial', 'noise rock', 'experimental rock', '9/10']","hip hop,rock,experimental"
horrendous,Idol,14-Oct-18,2018,9,"['loud rock', 'season of mist', 'death metal', 'technical death metal', 'progressive', '9/10']","rock,metal"
idles,Joy as an Act of Resistance.,5-Sep-18,2018,9,"['uk', 'partisan', 'post-punk', 'rock', 'post-hardcore', 'punk', '9/10']","rock,punk"
jack white,Boarding House Reach,27-Mar-18,2018,9,"['third man', 'rock', 'art rock', 'experimental rock', 'blues', '9/10']","rock,experimental"
