Date,Notes3,Notes2
1/31/2020,East Player of the Month: Giannis Antentokounmpo | West Player of the Month: Lebron James,East Player of the Month: Giannis Antentokounmpo | West Player of the Month: Lebron James
2/1/2020,Coming up on the trade deadline (2/6/20)!,
2/2/2020,Who's getting traded??,
2/3/2020,Who is it??,
2/4/2020,I actually don't remember,
2/5/2020,,
2/6/2020,"Trade Deadline: Cavs get Drummond from Pistons, Wiggins to the Warriors for D'angelo Russel to the Nets, and… I don't recognize any of these other names, sorry.",
2/7/2020,"Trade Deadline: Cavs get Drummond from Pistons, Wiggins to the Warriors for D'angelo Russel to the Nets, and… I don't recognize any of these other names, sorry.",
2/8/2020,,
2/9/2020,,
2/10/2020,,
2/11/2020,,
2/12/2020,,
2/13/2020,,
2/20/2020,And we're back!,
2/21/2020,,
2/22/2020,,
2/23/2020,,
2/24/2020,,
2/25/2020,,
2/26/2020,,
2/27/2020,,East Player of the Month: Jayson Tatum | West Player of the Month: Lebron James
2/28/2020,,East Player of the Month: Jayson Tatum | West Player of the Month: Lebron James
2/29/2020,East Player of the Month: Jayson Tatum | West Player of the Month: Lebron James,East Player of the Month: Jayson Tatum | West Player of the Month: Lebron James
3/1/2020,,
3/2/2020,,
3/3/2020,,
3/4/2020,We are approaching  Mr. Gobert's infamous microphone incident,
3/5/2020,We are approaching  Mr. Gobert's infamous microphone incident,
3/6/2020,3,
3/7/2020,2,
3/8/2020,1,
3/9/2020,The microphones were touched on this day,
3/10/2020,The Universe holds its breath in suspense,
3/11/2020,"March 11: Last day of games before COVID-19. The league cancels games on March 12, leading to a league-wide shut down, and the day when it all came to a screeching halt. (skip to 7/30/2020 for Bubble Games)",
7/30/2020,,
7/31/2020,,
8/1/2020,You’re welcome,
8/2/2020,Bubble Games,
8/3/2020,Bubble Games,
8/4/2020,Bubble Games,
8/5/2020,Bubble Games,
8/6/2020,Bubble Games,
8/7/2020,Bubble Games,
8/8/2020,Bubble Games,
8/9/2020,Bubble Games,
8/10/2020,Bubble Games,
8/11/2020,Bubble Games,
8/12/2020,Bubble Games,
8/13/2020,Bubble Games,
8/14/2020,Bubble Games,
8/15/2020,Bubble Games,
8/17/2020,"Bubble Games. I'm still sad the Suns didn't make the playoffs, but hey they're killing it this year.",
,,
8/26/2020,Bucks v. Orlando Game 5: Bucks strike in protest to the police shooting of Jacob Blake,
