Artists,Album,Date,Year,Score,Tags,Genres
lianne la havas,Lianne La Havas,23-Jul-20,2020,8,"['nonesuch', 'other', 'singer-songwriter', 'neo-soul', '8/10']","soul,singer-songwriter"
blu & exile,Miles,25-Jul-20,2020,9,"['dirty science', 'rap', 'hip hop', 'west coast', 'conscious', 'jazz rap', 'boom bap', '9/10']","hip hop,jazz"
logic,No Pressure,27-Jul-20,2020,7,"['def jam', 'rap', 'hip hop', 'east coast', 'conscious', 'pop rap', '7/10']","hip hop,pop"
taylor swift,folklore,28-Jul-20,2020,7,"['republic', 'pop', 'folk', '7/10']","pop,folk"
bladee,333,30-Jul-20,2020,6,"['drain gang', 'year0001', 'pop', 'art pop', 'ambient pop', 'cloud rap', '6/10', 'hip hop']","hip hop,pop,ambient"
daniel avery,Love + Light,31-Jul-20,2020,5,"['phantasy', 'electronic', 'ambient', 'techno', '5/10']","electronic,techno,ambient"
dominic fike,What Could Possibly Go Wrong,3-Aug-20,2020,4,"['columbia', 'pop', 'alternative r&b', '4/10']","pop,r&b"
imperial triumphant,Alphaville,5-Aug-20,2020,8,"['century media', 'loud rock', 'metal', 'avant-garde metal', 'jazz', 'black metal', 'tech death', '8/10']","jazz,rock,metal"
protomartyr,Ultimate Success Today,6-Aug-20,2020,6,"['domino', 'post-punk', 'art punk', 'rock', '6/10']","rock,punk"
chromeo,Quarantine Casanova,8-Aug-20,2020,7,"['self-released', 'pop', 'electro-disco', 'funktronica', 'synthpop', '7/10']","pop,funk"
amine,Limbo,10-Aug-20,2020,7,"['republic', 'rap', 'hip hop', 'west coast', 'trap', '7/10']",hip hop
tkay maidza,Last Year Was Weird Vol. 2,11-Aug-20,2020,9,"['vol 2', 'ep', '4ad', 'rap', 'hip hop', 'pop rap', 'neo-soul', 'hardcore hip hop', '9/10']","hip hop,pop,soul"
glass animals,Dreamland,12-Aug-20,2020,-1,"['wolf tone', 'pop', 'indie', 'trap', 'indietronic', 'hip hop']","hip hop,pop"
nle choppa,Top Shotta,13-Aug-20,2020,6,"['warner', 'rap', 'hip hop', 'trap', '6/10']",hip hop
trapt,Shadow Work,15-Aug-20,2020,-1,"['headstrong', 'list', 'meme', 'shitpost', 'alternative metal', 'rock', 'post-grunge', 'nu metal']","rock,metal"
the microphones,Microphones in 2020,17-Aug-20,2020,7,"['microphones in p.w. elverum & sun', 'mount eerie', 'other', 'folk', 'singer-songwriter', 'drone', 'indie rock', '7/10']","rock,singer-songwriter,folk"
primitive man,Immersion,18-Aug-20,2020,7,"['relapse', 'loud rock', 'metal', 'sludge', 'doom', '7/10']","rock,metal"
city morgue,Toxic Boogaloo,19-Aug-20,2020,5,"['ep', 'mixtape', 'republic', 'rap', 'hip hop', 'metal', 'trap', 'zillakami', 'sosmula', '5/10']","hip hop,metal"
katy perry,Smile,1-Sep-20,2020,4,"['capitol', 'pop', '4/10']",pop
jaden,CTV3: Cool Tape Vol. 3,2-Sep-20,2020,5,"['cool tape', 'mixtape', 'rap', 'hip hop', 'pop rap', 'bedroom pop', '5/10', 'roc nation']","hip hop,pop"
spirit possession,Spirit Possession,4-Sep-20,2020,7,"['profound lore', 'metal', 'loud rock', 'black metal', '7/10']","rock,metal"
6ix9ine,TattleTales,7-Sep-20,2020,3,"['tattle tales', 'create music group', 'rap', 'hip hop', 'pop rap', 'reggaeton', '3/10']","hip hop,pop"
big sean,Detroit 2,8-Sep-20,2020,7,"['def jam', 'good music', 'rap', 'hip hop', 'conscious', 'pop rap', '7/10']","hip hop,pop"
meridian brothers,Cumbia Siglo XXI,10-Sep-20,2020,8,"['bongo joe', 'electronic', 'latin', 'colombia', 'digital cumbia', '8/10']",electronic
kelly lee owens,Inner Song,11-Sep-20,2020,6,"['smalltown supersound', 'electronic', 'ambient pop', 'techno', '6/10']","pop,electronic,techno,ambient"
declan mckenna,Zeros,12-Sep-20,2020,5,"['tomplicated', 'rock', 'glam', '5/10']",rock
conway the machine,From King to a GOD,14-Sep-20,2020,8,"['griselda', 'rap', 'hip hop', 'east coast', '8/10']",hip hop
niki,Moonchild,15-Sep-20,2020,5,"['88rising', 'pop', 'electropop', 'r&b', '5/10']","pop,r&b"
the flaming lips,American Head,16-Sep-20,2020,8,"['warner', 'pop', 'neo-psychedelia', 'dream pop', '8/10']",pop
sevdaliza,Shabrang,17-Sep-20,2020,8,"['twisted elegance', 'pop', 'art pop', 'trip hop', 'alternative r&b', '8/10']","pop,r&b"
everything everything,Re-Animator,19-Sep-20,2020,6,"['infinity industries', 'rock', 'art rock', 'progressive pop', 'indietronic', '6/10']","pop,rock"
a. g. cook,Apple,21-Sep-20,2020,5,"['apple', 'pc music', 'electronic', 'pop', 'electropop', 'bubblegum bass', 'deconstructed club', '5/10']","pop,electronic"
lil tecca,Virgo World,22-Sep-20,2020,3,"['republic', 'rap', 'hip hop', 'pop rap', 'dancehall', '3/10']","hip hop,pop,dance"
osees,Protean Threat,24-Sep-20,2020,6,"['protean threat', 'castle face', 'rock', 'psychedelic', 'garage punk', '6/10']","rock,punk,psychedelic"
klo pelgag,Notre-Dame-des-Sept-Douleurs,25-Sep-20,2020,7,"['secret city', 'pop', 'art pop', 'nouvelle chanson', '7/10']",pop
fleet foxes,Shore,27-Sep-20,2020,7,"['robin pecknold', 'anti', 'folk', 'indie', 'other', 'chamber pop', 'singer-songwriter', '7/10']","pop,singer-songwriter,folk"
joji,Nectar,28-Sep-20,2020,6,"['88rising', 'pop', 'alternative r&b', '6/10']","pop,r&b"
machine gun kelly,Tickets to My Downfall,29-Sep-20,2020,-1,"['tickets to my downfall', 'bad boy', 'rock', 'pop punk', 'emo', 'shitpost', 'meme']","pop,rock,punk"
idles,Ultra Mono,30-Sep-20,2020,8,"['partisan', 'rock', 'post-punk', '8/10']","rock,punk"
deftones,Ohms,1-Oct-20,2020,3,"['reprise', 'loud rock', 'alternative metal', '3/10']","rock,metal"
sufjan stevens,The Ascension,2-Oct-20,2020,6,"['asthmatic kitty', 'pop', 'indietronic', 'art pop', '6/10']",pop
neil cicierega,Mouth Dreams,5-Oct-20,2020,4,"['self-released', 'mashup', 'other', 'novelty', 'meme', '4/10']",
spillage village,Spilligion,6-Oct-20,2020,5,"['dreamville', 'jid', 'earthgang', 'rap', 'hip hop', 'neo-soul', '5/10']","hip hop,soul"
"21 savage<,>metro boomin",Savage Mode II,7-Oct-20,2020,7,"['savage mode 2', 'collab', 'epic', 'rap', 'hip hop', 'trap', '7/10']",hip hop
blackpink,THE ALBUM,8-Oct-20,2020,6,"['pop', 'k-pop', 'rap', '6/10', 'hip hop']","hip hop,pop"
anna von hausswolff,All Thoughts Fly,10-Oct-20,2020,7,"['southern lord', 'drone', 'organ', 'art pop7/10']",pop
clown core,Van,14-Oct-20,2020,7,"['self-released', 'other', 'cybergrind', 'avant-garde jazz', 'noisecore', 'drum and bass', '7/10']",jazz
reason,New Beginnings,15-Oct-20,2020,3,"['tde', 'top dawg', 'rap', 'hip hop', 'west coast', '3/10']",hip hop
jay electronica,Act II: The Patents of Nobility (The Turn),16-Oct-20,2020,4,"['patents of nobility', 'the turn', 'tidal', 'roc nation', 'leak', 'rap', 'hip hop', 'abstract', '4/10']",hip hop
roisin murphy,Roisin Machine,17-Oct-20,2020,5,"['loaded', 'pop', 'nu-disco', 'dance pop', '5/10']","pop,dance"
touche amore,Lament,19-Oct-20,2020,6,"['epitaph', 'loud rock', 'post-hardcore', '6/10']",rock
black thought,"Streams of Thought, Vol. 3: Cane and Abel",20-Oct-20,2020,7,"['cane & abel', 'republic', 'rap', 'hip hop', 'conscious', '7/10']",hip hop
dorian electra,My Agenda,22-Oct-20,2020,8,"['self-released', 'pop', 'bubblegum bass', 'industrial', 'brostep', 'trap', 'hyperpop', '8/10', 'hip hop']","hip hop,pop"
benny the butcher,Burden of Proof,23-Oct-20,2020,7,"['griselda', 'rap', 'hip hop', 'east coast', 'gangsta', 'hardcore hip hop', '7/10']",hip hop
health,DISCO4 :: PART I,24-Oct-20,2020,6,"['collaboration', 'collab', 'electronic', 'loma vista', 'electro-industrial', '6/10']",electronic
gorillaz,"Song Machine, Season One: Strange Timez",26-Oct-20,2020,8,"['strange timez', 'warner', 'pop', 'synthpop', 'rap', 'alternative', '8/10', 'hip hop']","hip hop,pop"
clipping.,Visions of Bodies Being Burned,27-Oct-20,2020,9,"['sub pop', 'rap', 'hip hop', 'noise', 'horrorcore', 'experimental', 'industrial', '9/10']","hip hop,pop,experimental"
